user_id	availability	coaching_history
1	Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.	Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.
2	Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.	Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
3	Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.	In congue. Etiam justo. Etiam pretium iaculis justo.
4	Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.	Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.
5	Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.	Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
6	Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.	In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.
7	Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.	In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
8	Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.	Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
9	Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.	In congue. Etiam justo. Etiam pretium iaculis justo.
10	In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.	Phasellus in felis. Donec semper sapien a libero. Nam dui.
11	Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.	Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.
12	Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.	Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.
13	Phasellus in felis. Donec semper sapien a libero. Nam dui.	Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
14	Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.	Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.
15	Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.	Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
16	Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.	Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
